id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-1,2020-07-01,000001,Vente,31234.16,,,SAINT JULIEN,B064,01560,01367,Saint-Julien-sur-Reyssouze,01,,,013670000A0008,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1192,5.109255,46.403019
2020-2,2020-07-01,000001,Vente,278000,,,A LA PEROUSE,B188,01250,01125,Corveissiat,01,,,011250000C0509,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,10092,5.444577,46.252372
2020-2,2020-07-01,000001,Vente,278000,,,A LA PEROUSE,B188,01250,01125,Corveissiat,01,,,011250000C0510,,,,,,,,,,,,,0,,,,,L,landes,,,4570,5.444588,46.253467
2020-2,2020-07-01,000001,Vente,278000,,,AUX COMMUNS,B079,01250,01125,Corveissiat,01,,,01125000ZL0096,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,5750,5.442015,46.256031
2020-2,2020-07-01,000001,Vente,278000,,,EN COMBARNAUD,B033,01250,01408,Simandre-sur-Suran,01,,,014080000A0014,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,648170,5.439915,46.250795
2020-2,2020-07-01,000001,Vente,278000,,,EN COMBARNAUD,B033,01250,01408,Simandre-sur-Suran,01,,,014080000A0014,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,150000,5.439915,46.250795
2020-2,2020-07-01,000001,Vente,278000,,,A LANSIAT,B093,01250,01408,Simandre-sur-Suran,01,,,014080000A0112,,,,,,,,,,,,,0,,,,,P,prés,,,1763,5.435722,46.244935
2020-2,2020-07-01,000001,Vente,278000,,,MOULIN DE CORRERIE,B111,01250,01408,Simandre-sur-Suran,01,,,014080000A0114,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,108,5.435142,46.244837
2020-2,2020-07-01,000001,Vente,278000,,,COMBE BIZET,B037,01250,01408,Simandre-sur-Suran,01,,,014080000B0134,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,124420,5.448573,46.234303
2020-2,2020-07-01,000001,Vente,278000,,,AU COMBE BISET,B036,01250,01408,Simandre-sur-Suran,01,,,014080000B0371,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,104426,5.444659,46.22883
2020-2,2020-07-01,000001,Vente,278000,,,COMBE BIZET,B037,01250,01408,Simandre-sur-Suran,01,,,014080000B0525,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,76060,5.442057,46.226266
2020-2,2020-07-01,000001,Vente,278000,,,COMBE BIZET,B037,01250,01408,Simandre-sur-Suran,01,,,014080000B0538,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,68015,5.43759,46.224721
2020-2,2020-07-01,000001,Vente,278000,,,LES GRANDES TEPPES,B086,01250,01408,Simandre-sur-Suran,01,,,014080000B0588,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,228549,5.438308,46.240815
2020-2,2020-07-01,000001,Vente,278000,,,LES GRANDES TEPPES,B086,01250,01408,Simandre-sur-Suran,01,,,014080000B0588,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,20000,5.438308,46.240815
2020-3,2020-07-01,000001,Vente,3985,,,LA PIE,B104,01250,01195,Jasseron,01,,,011950000A1202,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,12640,5.284544,46.219739
2020-4,2020-07-04,000001,Vente,100000,,,LES BAGNARDES,B001,01310,01385,Saint-Rémy,01,,,013850000A1333,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,824,5.167362,46.195318
2020-5,2020-07-01,000001,Vente,410,,,GAS PEROU,B070,01250,01195,Jasseron,01,,,01195000ZB0094,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,1300,5.285175,46.219342
2020-6,2020-07-02,000001,Vente,77000,347,,RTE DE JALAMONDE,0220,01340,01130,Bresse Vallons,01,,,011300000A1067,,,,,,,,,,,,,0,1,Maison,115,2,S,sols,,,2599,5.198842,46.30802
2020-7,2020-07-07,000001,Vente,1519.68,,,GRATAPE,B074,01250,01422,Tossiat,01,,,014220000C0021,,,,,,,,,,,,,0,,,,,T,terres,,,780,5.326487,46.142663
2020-7,2020-07-07,000001,Vente,1519.68,,,GRATAPE,B074,01250,01422,Tossiat,01,,,014220000C0022,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,770,5.32618,46.142851
2020-7,2020-07-07,000001,Vente,1519.68,,,GRATAPE,B074,01250,01422,Tossiat,01,,,014220000C0023,,,,,,,,,,,,,0,,,,,T,terres,,,590,5.326237,46.142622
2020-7,2020-07-07,000001,Vente,1519.68,,,GRATAPE,B074,01250,01422,Tossiat,01,,,014220000C0024,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,560,5.326065,46.142491
2020-7,2020-07-07,000001,Vente,1519.68,,,A LA MINE,B086,01250,01422,Tossiat,01,,,014220000C0048,,,,,,,,,,,,,0,,,,,L,landes,,,1940,5.327051,46.142796
2020-7,2020-07-07,000001,Vente,1519.68,,,CHEZ LUQUIN,B038,01250,01422,Tossiat,01,,,014220000C0319,,,,,,,,,,,,,0,,,,,VI,vignes,,,870,5.323733,46.138126
2020-7,2020-07-07,000001,Vente,1519.68,,,CHEZ LUQUIN,B038,01250,01422,Tossiat,01,,,014220000C0320,,,,,,,,,,,,,0,,,,,VI,vignes,,,610,5.32319,46.138178
2020-7,2020-07-07,000001,Vente,1519.68,,,CHEZ LUQUIN,B038,01250,01422,Tossiat,01,,,014220000C0337,,,,,,,,,,,,,0,,,,,T,terres,,,420,5.323879,46.138816
2020-7,2020-07-07,000001,Vente,1519.68,,,CHEZ LUQUIN,B038,01250,01422,Tossiat,01,,,014220000C0349,,,,,,,,,,,,,0,,,,,VI,vignes,,,585,5.323854,46.139197
2020-7,2020-07-07,000001,Vente,1519.68,,,AU MACHARD,B080,01250,01422,Tossiat,01,,,014220000C0399,,,,,,,,,,,,,0,,,,,T,terres,,,653,5.324481,46.141828
2020-7,2020-07-07,000001,Vente,1519.68,,,LA DIGODOULE,B058,01250,01422,Tossiat,01,,,014220000C1391,,,,,,,,,,,,,0,,,,,P,prés,,,720,5.323392,46.133452
2020-7,2020-07-07,000001,Vente,1519.68,,,EN ROSSY,B125,01250,01422,Tossiat,01,,,01422000ZA0025,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1000,5.290477,46.149007
2020-8,2020-07-01,000001,Vente,279000,1084,,RTE DE CRANGEAT,0079,01440,01451,Viriat,01,,,01451000AB0029,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1330,5.215936,46.264536
2020-8,2020-07-01,000001,Vente,279000,1084,,RTE DE CRANGEAT,0079,01440,01451,Viriat,01,,,01451000AB0029,,,,,,,,,,,,,0,1,Maison,122,5,S,sols,,,1330,5.215936,46.264536
2020-9,2020-07-02,000001,Vente,177650,192,,RUE DE MONTFLEURY,0348,01560,01364,Saint-Jean-sur-Reyssouze,01,,,013640000B0554,,,,,,,,,,,,,0,1,Maison,80,3,S,sols,,,260,5.061938,46.396034
2020-9,2020-07-02,000001,Vente,177650,,,LE BOURG,B028,01560,01364,Saint-Jean-sur-Reyssouze,01,,,013640000B0918,,,,,,,,,,,,,0,,,,,J,jardins,,,600,5.061693,46.396145
2020-10,2020-07-02,000002,Vente,2300,,,LES PEROUX,B088,01340,01024,Attignat,01,,,01024000AN0083,,,,,,,,,,,,,0,,,,,P,prés,,,5613,5.19905,46.285116
2020-10,2020-07-02,000002,Vente,2300,,,LES PEROUX,B088,01340,01024,Attignat,01,,,01024000AN0095,,,,,,,,,,,,,0,,,,,P,prés,,,2125,5.19636,46.284018
2020-11,2020-07-03,000001,Vente,169111,71,,RUE BRICHEMER,0605,01000,01053,Bourg-en-Bresse,01,,,01053000BX0263,,,,,,,,,,,,,0,1,Maison,86,4,S,sols,,,151,5.251962,46.212201
2020-12,2020-07-02,000001,Vente,190000,5062,,EN BOURRAVIER,B012,01250,01177,Grand-Corent,01,,,011770000B0192,,,,,,,,,,,,,0,1,Maison,114,4,S,sols,,,85,5.428764,46.20075
2020-12,2020-07-02,000001,Vente,190000,,,EN BOURRAVIER,B012,01250,01177,Grand-Corent,01,,,011770000B0193,,,,,,,,,,,,,0,,,,,P,prés,,,125,5.428566,46.200772
2020-12,2020-07-02,000001,Vente,190000,,,EN BOURRAVIER,B012,01250,01177,Grand-Corent,01,,,011770000B0196,,,,,,,,,,,,,0,,,,,S,sols,,,170,5.428668,46.200598
2020-13,2020-07-03,000001,Vente en l'état futur d'achèvement,179970,,,ILE DE LA REJOUISSANCE,B001,01750,01370,Saint-Laurent-sur-Saône,01,,,013700000B0003,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.838408,46.303181
2020-13,2020-07-03,000001,Vente en l'état futur d'achèvement,179970,,,ILE DE LA REJOUISSANCE,B001,01750,01370,Saint-Laurent-sur-Saône,01,,,013700000B0003,,,21,,,,,,,,,,1,2,Appartement,61,3,,,,,,4.838408,46.303181
2020-14,2020-07-02,000001,Vente en l'état futur d'achèvement,360000,12,,RUE DU 23EME R.I.,3740,01000,01053,Bourg-en-Bresse,01,,,01053000AB0296,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.217651,46.208039
