"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"TYPE_DAU";"NUM_DAU";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DR_DEPOT";"DPC_AUT";"DPC_DOC";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP";"NATURE_PROJET_DECLAREE";"NATURE_PROJET_COMPLETEE";"DESTINATION_PRINCIPALE";"TYPE_PRINCIP_LOGTS_CREES";"TYPE_TRANSFO_PRINCIPAL";"TYPE_PRINCIP_LOCAUX_TRANSFORMES";"I_EXTENSION";"I_SURELEVATION";"I_NIVSUPP";"NB_NIV_MAX";"UTILISATION";"RES_PRINCIP_OU_SECOND";"TYP_ANNEXE";"I_PISCINE";"I_GARAGE";"I_VERANDA";"I_ABRI_JARDIN";"I_AUTRE_ANNEXE";"RESIDENCE";"RES_PERS_AGEES";"RES_ETUDIANTS";"RES_TOURISME";"RES_HOTEL_SOCIALE";"RES_SOCIALE";"RES_HANDICAPES";"RES_AUTRE";"NB_LGT_TOT_CREES";"NB_LGT_IND_CREES";"NB_LGT_COL_CREES";"NB_LGT_INDIV_PURS";"NB_LGT_INDIV_GROUPES";"NB_LGT_RES";"NB_LGT_COL_HORS_RES";"NB_LGT_DEMOLIS";"NB_LGT_1P";"NB_LGT_2P";"NB_LGT_3P";"NB_LGT_4P";"NB_LGT_5P";"NB_LGT_6P_PLUS";"NB_LGT_PRET_LOC_SOCIAL";"NB_LGT_ACC_SOC_HORS_PTZ";"NB_LGT_PTZ";"SURF_HAB_AVANT";"SURF_HAB_CREEE";"SURF_HAB_ISSUE_TRANSFO";"SURF_HAB_DEMOLIE";"SURF_HAB_TRANSFORMEE";"SURF_LOC_AVANT";"SURF_LOC_CREEE";"SURF_LOC_ISSUE_TRANSFO";"SURF_LOC_DEMOLIE";"SURF_LOC_TRANSFORMEE";"SURF_AUTR_TRANSFORMEE";"SURF_COM_TRANSFORMEE";"SURF_AGR_TRANSFORMEE";"SURF_PUB_TRANSFORMEE"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100113V0003";5;"2013-09-20";"2013-11-26";;2013;"2013-01-01";"2013-11";"2013-12";"2013-12";;;;;;"01400";"CHATILLON-SUR-CHALARONNE";"false";;;"MUNETVILLE RD 64C";"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1026";"A";"1024";;;644;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100113V0004";6;"2013-09-30";"2013-12-06";"2014-08-08";2013;"2013-01-01";"2013-10";"2014-01";"2014-08";;;;;;"01290";"BIZIAT";"false";;"LOT LE PANORAMIQUE";"LOT 7";"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1026";"A";"1024";;;550;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100113V0006";6;"2013-09-20";"2013-11-26";"2014-06-27";2013;"2013-01-01";"2013-11";"2013-12";"2014-07";;;;;;"01400";"CHATILLON-SUR-CHALARONNE";"false";;"LOT LE PANORAMIQUE";"MUNETVILLE";"L ABERGEMENT-CLEMENCIAT";"01400";"A";;;;;;556;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100113V0007";6;"2013-11-16";"2014-01-24";"2014-04-09";2013;"2013-01-01";"2013-11";"2014-02";"2014-04";;;;;;"01990";"RELEVANT";"false";;"LOT LE PANORAMIQUE";"MUNETVILLE";"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1026";"A";"1024";;;553;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100113V0008";6;"2013-12-06";"2014-03-12";"2014-11-14";2013;"2013-01-01";"2013-12";"2014-03";"2015-02";;;;;;"01090";"MONTMERLE-SUR-SAONE";"false";;"LOT LE PANORAMIQUE";"MUNETVILLE";"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1026";"A";"1024";;;449;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100114V0001";5;"2014-04-09";"2014-06-16";;2014;"2014-01-01";"2014-04";"2014-07";"2014-07";;;;;;"01400";"L ABERGEMENT-CLEMENCIAT";"false";;;"L ORDRE";"L ABERGEMENT-CLEMENCIAT";"01400";"ZM";"61";;;;;1376;4;2;5;1;1;;;"false";"false";"false";0;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;92;77;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100114V0004";5;"2014-08-27";"2014-09-02";;2014;"2014-01-01";"2014-08";"2015-04";"2015-04";;;;;;"69250";"NEUVILLE-SUR-SAONE";"false";;"LOT LE  PANORAMIQUE - RD64C";;"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1038";"A";"1035";;;511;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100114V0005";2;"2014-09-04";;;2014;"2014-01-01";"2014-09";;"2014-09";;;;;;;;"false";;"LOT LE PANORAMIQUE";"MUNETVILLE";"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1043";;;;;580;4;1;1;1;1;;;"false";"false";"false";0;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100114V0006";5;"2014-10-08";"2015-10-26";;2014;"2014-01-01";"2014-10";"2015-11";"2015-11";"68.20A";5599;"LOGIDIA  SOCIETE ANONYME D'HABITATIONS A LOYER MODERE";"756200275";"75620027500037";"01960";"PERONNAS";"false";;;"1 LOT LE PANORAMIQUE";"L ABERGEMENT-CLEMENCIAT";"01400";"A";"1042";;;;;1399;4;1;1;1;3;;;"false";"false";"false";0;3;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";4;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;331;0;0;0;0;0;0;0;0;0;0;0;0
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100115V0001";2;"2015-04-14";;;2015;"2015-01-01";"2017-10";;"2017-10";;;;;;"01290";"CRUZILLES LES MEPILLAT";"false";;"LES LILAS";"LIEU-DIT A MUNETVILLE";"ABERGEMENT CLEMENCIAT";"01400";"ZM";"111";;;;;1490;4;1;1;1;1;;;"false";"false";"false";1;5;3;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0
